Disease 1	Disease 2	Corr. coefficient
Multiple_sclerosis	Vitiligo	-0.0200414005666971
Asthma	LDL_cholesterol	-0.0202823728322983
Chronic_kidney_disease	Renal_function_related_traits_BUN	-0.0204748548567295
Primary_sclerosing_cholangitis	Type_1_diabetes	-0.0205245427787304
Behcets_disease	Ulcerative_colitis	-0.0205377750098705
Primary_sclerosing_cholangitis	Renal_function_related_traits_BUN	-0.0206746272742748
Alzheimers_combined	Migraine	-0.0208689924329519
Restless_legs_syndrome	Ulcerative_colitis	-0.0209861267358065
Ankylosing_spondylitis	Kawasaki_disease	-0.0212648808956146
Celiac_disease	Fasting_glucose_related_traits	-0.0212717689573765
Autoimmune_thyroiditis	Renal_function_related_traits_BUN	-0.0216895695775747
Alopecia_areata	Crohns_disease	-0.0218585133552551
HDL_cholesterol	Systemic_sclerosis	-0.0222952142357826
Celiac_disease	Creatinine_levels	-0.0231882426887751
Autoimmune_thyroiditis	Migraine	-0.023724352940917
Atopic_dermatitis	Systemic_lupus_erythematosus	-0.0238213855773211
Atopic_dermatitis	C_reactive_protein	-0.0240517016500235
Red_blood_cell_traits	Renal_function_related_traits_BUN	-0.0241629648953676
Migraine	Rheumatoid_arthritis	-0.0241804271936417
Creatinine_levels	Systemic_lupus_erythematosus	-0.0246719643473625
HDL_cholesterol	Primary_sclerosing_cholangitis	-0.0250134281814098
Crohns_disease	Platelet_counts	-0.0250672828406096
Ankylosing_spondylitis	Systemic_lupus_erythematosus	-0.0250700525939465
Alopecia_areata	Rheumatoid_arthritis	-0.0251773688942194
Ankylosing_spondylitis	Triglycerides	-0.0254255868494511
Behcets_disease	Multiple_sclerosis	-0.0256187543272972
LDL_cholesterol	Systemic_sclerosis	-0.0258060935884714
Primary_biliary_cirrhosis	Primary_sclerosing_cholangitis	-0.0265390686690807
C_reactive_protein	Migraine	-0.0267883781343699
Ankylosing_spondylitis	Vitiligo	-0.0268480889499187
Behcets_disease	Liver_enzyme_levels_gamma_glutamyl_transferase	-0.0268512740731239
Primary_biliary_cirrhosis	Renal_function_related_traits_BUN	-0.0270212404429913
Juvenile_idiopathic_arthritis	Psoriasis	-0.027026591822505
Migraine	Type_1_diabetes	-0.0271109323948622
Crohns_disease	Rheumatoid_arthritis	-0.0276162773370743
Systemic_lupus_erythematosus	Vitiligo	-0.0278412438929081
